timestamp,open,high,low,close,volume,bb_upper,bb_lower,bb_mid,rsi,cum_vol,cum_pv,vwap,ema20,ema50,signal
2025-07-12 14:45:00,118054.78,118054.79,118029.99,118029.99,4.05669,,,,33.118466893315,4.05669,478811.0801331,118029.99,118029.99,118029.99,🟡 No Trade
2025-07-12 14:46:00,118029.99,118029.99,118014.53,118014.54,1.74283,,,,52.989547029304006,5.799519999999999,684490.3608813,118025.34707722363,118021.87875,118022.11050000001,🟡 No Trade
2025-07-12 14:47:00,118014.53,118040.9,118014.53,118040.89,6.25633,,,,61.14178503381231,12.05585,1422993.122215,118033.41300820763,118028.85956702748,118028.6223623517,🟡 No Trade
2025-07-12 14:48:00,118040.89,118040.9,118040.89,118040.89,1.35722,,,,64.28878867525853,13.41307,1583200.5789408,118034.16957794152,118032.33256701996,118031.87568982408,🟡 No Trade
2025-07-12 14:49:00,118040.89,118112.82,118040.89,118060.0,30.50468,,,,65.49269857554427,43.91775,5184583.0997407995,118052.1110425921,118039.02508361307,118037.9593542603,🟡 No Trade
2025-07-12 14:50:00,118060.0,118084.28,118060.0,118072.22,3.48172,,,,65.95265510085048,47.39947,5595677.509559199,118053.58814263533,118046.02769471315,118044.25537876466,🟡 No Trade
2025-07-12 14:51:00,118072.22,118142.83,118072.22,118126.83,10.88333,,,,66.12834864927487,58.2828,6881290.7823030995,118067.2648243238,118061.30541063954,118057.5134897815,🟡 No Trade
2025-07-12 14:52:00,118126.84,118200.0,118126.83,118199.99,16.81461,,,,66.19545793579304,75.09741,8868777.516157,118096.9825211948,118085.27773877143,118077.91393633942,🟡 No Trade
2025-07-12 14:53:00,118199.99,118200.0,118180.01,118181.67,12.9379,,,,66.22109142026152,88.03531,10397800.14445,118109.42841514388,118100.73952880768,118091.37108454132,🟡 No Trade
2025-07-12 14:54:00,118181.66,118199.86,118180.73,118184.39,8.42016,,,,66.23088254108033,96.45546999999999,11392931.6177524,118115.97224866977,118113.3365649518,118102.43455671905,🟡 No Trade
2025-07-12 14:55:00,118184.39,118184.4,118111.79,118111.8,6.89738,,,,66.23462241650101,103.35284999999999,12207593.5848364,118115.69380850553,118113.11730815806,118103.46621647126,🟡 No Trade
2025-07-12 14:56:00,118111.8,118122.8,118083.35,118122.79,13.4819,,,,66.23605092180112,116.83474999999999,13800113.2273374,118116.51265858317,118114.43500111888,118105.45384420187,🟡 No Trade
2025-07-12 14:57:00,118122.8,118186.05,118122.79,118160.0,2.83532,,,,66.23659656227284,119.67006999999998,14135134.6385374,118117.54299581677,118120.39782051463,118110.72870448806,🟡 No Trade
2025-07-12 14:58:00,118160.0,118160.01,118158.78,118158.78,4.48684,,,,66.2368049783874,124.15690999999998,14665294.1789926,118119.03323780047,118125.24787933436,118115.12286705259,🟡 No Trade
2025-07-12 14:59:00,118158.78,118158.79,118158.78,118158.78,1.37947,,,,66.23688458625936,125.53637999999998,14828290.6712392,118119.46999936753,118129.35717538213,118118.91702033955,🟡 No Trade
2025-07-12 15:00:00,118158.79,118158.79,118069.15,118088.99,16.79189,,,,55.64949178197765,142.32826999999997,16811228.001530297,118115.87396889107,118124.54176533486,118116.43451957851,🟡 No Trade
2025-07-12 15:01:00,118089.0,118089.0,118064.26,118081.66,3.09677,,,,50.74288846032295,145.42503999999997,17176899.7437685,118115.14539565195,118119.5465352463,118113.67078500123,🟡 No Trade
2025-07-12 15:02:00,118081.65,118081.66,118033.56,118080.0,14.51389,,,,48.66574703135248,159.93892999999997,18890699.8749685,118111.95607578782,118115.03567820087,118111.09833782032,🟡 No Trade
2025-07-12 15:03:00,118079.99,118080.0,118012.55,118030.1,9.82057,,,,42.53570013938965,169.75949999999997,20049822.7341255,118107.22071003685,118105.5265527461,118105.13192359668,🟡 No Trade
2025-07-12 15:04:00,118029.11,118069.3,118029.1,118064.26,6.12184,118270.47862000804,117930.37837999195,118100.4285,44.67792310379501,175.88133999999997,20772593.243563898,118105.72539169819,118100.98245356076,118102.22150900948,🟡 No Trade
2025-07-12 15:05:00,118064.26,118064.27,118051.0,118060.15,5.34354,118267.44760420377,117936.42539579622,118101.9365,45.06646554188962,181.22487999999996,21403452.377494898,118104.38156998588,118096.55206946758,118099.31854708989,🟡 No Trade
2025-07-12 15:06:00,118060.16,118072.98,118060.15,118072.97,1.11236,118260.60625396777,117949.10974603225,118104.85800000001,46.8481575709994,182.33723999999995,21534792.026404098,118104.18994169323,118094.0268714386,118097.55306477699,🟡 No Trade
